geo_code1,geo_code2,all,from_home,train,bus,car_driver,car_passenger,bicycle,foot,other
S02001576,S02001614,6,0,0,1,4,1,0,0,0
S02001576,S02001615,22,0,0,4,17,0,1,0,0
S02001576,S02001616,33,0,0,4,26,1,1,0,1
S02001576,S02001617,5,0,0,1,3,0,0,1,0
S02001576,S02001618,5,0,0,3,1,0,1,0,0
S02001576,S02001619,20,0,0,8,10,0,1,1,0
S02001576,S02001620,101,0,0,56,35,4,4,1,1
S02001576,S02001621,27,0,0,4,17,1,5,0,0
S02001576,S02001622,107,0,10,64,19,2,6,3,3
S02001576,S02001623,6,0,0,3,3,0,0,0,0
S02001576,S02001624,2,0,0,0,2,0,0,0,0
S02001576,S02001625,4,0,0,3,1,0,0,0,0
S02001576,S02001626,4,0,0,3,1,0,0,0,0
S02001576,S02001627,34,0,0,2,31,1,0,0,0
S02001576,S02001629,1,0,0,0,1,0,0,0,0
S02001576,S02001630,1,0,0,0,1,0,0,0,0
S02001576,S02001631,5,0,0,0,5,0,0,0,0
S02001576,S02001632,13,0,0,0,11,0,0,0,2
S02001576,S02001633,1,0,0,0,1,0,0,0,0
S02001576,S02001636,3,0,0,1,2,0,0,0,0
S02001576,S02001640,13,0,0,3,9,0,0,0,1
S02001576,S02001641,2,0,0,1,1,0,0,0,0
S02001576,S02001642,7,0,0,0,7,0,0,0,0
S02001576,S02001643,6,0,0,5,1,0,0,0,0
S02001576,S02001644,5,0,0,0,5,0,0,0,0
S02001576,S02001645,1,0,0,0,1,0,0,0,0
S02001576,S02001647,11,0,0,7,3,0,0,0,1
S02001576,S02001648,3,0,0,0,3,0,0,0,0
S02001576,S02001649,4,0,0,1,2,0,1,0,0
S02001576,S02001650,2,0,0,0,1,0,0,1,0
S02001576,S02001651,2,0,0,0,2,0,0,0,0
S02001576,S02001652,1,0,0,0,1,0,0,0,0
S02001576,S02001653,7,0,0,0,5,0,1,0,1
S02001576,S02001654,9,0,0,1,5,1,0,2,0
S02001576,S02001655,20,0,1,11,7,0,1,0,0
S02001576,S02001656,44,0,1,21,17,0,3,1,1
S02001576,S02001657,14,0,0,5,6,0,2,1,0
S02001576,S02001658,11,0,0,7,1,2,0,1,0
S02001576,S02001659,10,0,0,2,8,0,0,0,0
S02001576,S02001660,105,0,3,47,44,2,3,2,4
S02001576,S02001661,11,0,0,0,10,0,1,0,0
S02001576,S02001662,12,0,0,1,10,0,1,0,0
S02001576,S02001663,45,0,0,5,33,1,5,0,1
S02001576,S02001664,3,0,0,0,2,1,0,0,0
S02001576,S02001665,1,0,0,0,1,0,0,0,0
S02001576,S02001667,16,0,0,2,10,0,2,0,2
S02001576,S02001669,1,0,0,0,1,0,0,0,0
S02001576,S02001670,7,0,0,4,2,1,0,0,0
S02001576,S02001671,1,0,0,0,1,0,0,0,0
S02001576,S02001672,4,0,0,0,3,0,0,1,0
S02001576,S02001673,1,0,0,0,1,0,0,0,0
S02001576,S02001675,4,0,0,3,1,0,0,0,0
S02001576,S02001676,1,0,0,0,1,0,0,0,0
S02001576,S02001677,4,0,0,0,4,0,0,0,0
S02001576,S02001678,4,0,0,0,4,0,0,0,0
S02001576,S02001679,23,0,0,0,19,1,2,1,0
S02001576,S02001680,3,0,0,0,3,0,0,0,0
S02001576,S02001681,2,0,0,0,2,0,0,0,0
S02001576,S02001682,159,0,0,10,132,7,6,2,2
S02001576,S02001683,64,0,0,4,56,1,1,0,2
S02001576,S02001684,35,0,0,0,33,2,0,0,0
S02001576,S02001685,3,0,0,0,3,0,0,0,0
S02001577,S02001576,20,0,0,3,12,2,0,3,0
S02001577,S02001577,195,0,1,18,46,8,3,118,1
S02001577,S02001578,35,0,0,0,10,2,1,22,0
S02001577,S02001579,14,0,0,2,8,1,2,1,0
S02001577,S02001581,11,0,0,0,10,0,0,1,0
S02001577,S02001583,7,0,0,1,5,0,1,0,0
S02001577,S02001584,16,0,1,2,9,1,3,0,0
S02001577,S02001585,1,0,0,1,0,0,0,0,0
S02001577,S02001586,39,0,0,2,34,1,1,1,0
S02001577,S02001587,9,0,0,3,6,0,0,0,0
S02001577,S02001588,9,0,0,1,7,0,1,0,0
S02001577,S02001589,16,0,0,5,11,0,0,0,0
S02001577,S02001590,9,0,0,2,4,0,1,0,2
S02001577,S02001591,17,0,0,5,11,0,1,0,0
S02001577,S02001592,2,0,0,2,0,0,0,0,0
S02001577,S02001593,11,0,0,3,6,0,0,2,0
S02001577,S02001594,4,0,0,1,3,0,0,0,0
S02001577,S02001595,1,0,0,0,1,0,0,0,0
S02001577,S02001596,7,0,0,0,7,0,0,0,0
S02001577,S02001597,1,0,0,0,1,0,0,0,0
S02001577,S02001598,2,0,0,0,2,0,0,0,0
S02001577,S02001599,8,0,0,0,8,0,0,0,0
S02001577,S02001601,1,0,0,0,1,0,0,0,0
S02001577,S02001602,4,0,0,0,4,0,0,0,0
S02001577,S02001603,1,0,0,0,1,0,0,0,0
S02001577,S02001604,1,0,0,0,1,0,0,0,0
S02001577,S02001606,9,0,0,1,6,2,0,0,0
S02001577,S02001608,1,0,0,0,0,1,0,0,0
S02001577,S02001609,14,0,0,0,11,1,0,2,0
S02001577,S02001610,1,0,0,1,0,0,0,0,0
S02001577,S02001611,16,0,1,3,9,2,0,0,1
S02001577,S02001612,2,0,0,1,1,0,0,0,0
S02001577,S02001613,11,0,0,3,7,0,1,0,0
S02001577,S02001614,5,0,0,3,2,0,0,0,0
S02001577,S02001615,17,0,0,2,13,1,0,1,0
S02001577,S02001616,27,0,0,12,14,0,0,1,0
S02001577,S02001617,1,0,0,0,1,0,0,0,0
S02001577,S02001619,12,0,0,6,4,1,0,0,1
S02001577,S02001620,50,0,1,33,12,0,3,1,0
S02001577,S02001621,18,0,0,9,3,2,1,3,0
S02001577,S02001622,70,0,11,43,11,2,2,0,1
S02001577,S02001623,17,0,0,5,8,2,0,2,0
S02001577,S02001624,2,0,0,1,1,0,0,0,0
S02001577,S02001626,3,0,0,2,1,0,0,0,0
S02001577,S02001627,11,0,0,3,6,2,0,0,0
S02001577,S02001628,1,0,0,0,1,0,0,0,0
S02001577,S02001629,1,0,0,0,1,0,0,0,0
S02001577,S02001630,4,0,0,1,3,0,0,0,0
S02001577,S02001631,1,0,0,0,1,0,0,0,0
S02001577,S02001632,5,0,0,0,5,0,0,0,0
S02001577,S02001633,1,0,0,0,1,0,0,0,0
S02001577,S02001635,1,0,0,0,1,0,0,0,0
S02001577,S02001640,12,0,0,4,6,0,2,0,0
S02001577,S02001641,1,0,0,0,1,0,0,0,0
S02001577,S02001642,6,0,0,0,6,0,0,0,0
S02001577,S02001643,6,0,0,2,2,0,2,0,0
S02001577,S02001644,3,0,0,0,3,0,0,0,0
S02001577,S02001645,2,0,0,0,1,0,0,1,0
S02001577,S02001647,7,0,0,5,2,0,0,0,0
S02001577,S02001649,3,0,0,1,1,0,1,0,0
S02001577,S02001650,1,0,0,0,1,0,0,0,0
S02001577,S02001651,2,0,1,0,1,0,0,0,0
S02001577,S02001652,2,0,0,1,1,0,0,0,0
S02001577,S02001653,7,0,0,3,4,0,0,0,0
S02001577,S02001654,5,0,0,2,1,1,0,1,0
S02001577,S02001655,8,0,0,6,0,1,0,0,1
S02001577,S02001656,20,0,1,14,1,1,3,0,0
S02001577,S02001657,2,0,0,0,1,0,1,0,0
S02001577,S02001658,6,0,0,4,1,0,1,0,0
S02001577,S02001659,5,0,0,1,4,0,0,0,0
S02001577,S02001660,60,0,7,35,16,1,0,1,0
S02001577,S02001661,1,0,0,1,0,0,0,0,0
S02001577,S02001662,11,0,0,2,9,0,0,0,0
S02001577,S02001663,29,0,0,5,21,0,1,0,2
S02001577,S02001664,7,0,0,1,6,0,0,0,0
S02001577,S02001665,3,0,0,0,3,0,0,0,0
S02001577,S02001666,2,0,0,0,2,0,0,0,0
S02001577,S02001667,10,0,0,3,7,0,0,0,0
S02001577,S02001668,2,0,0,0,1,1,0,0,0
S02001577,S02001669,3,0,0,0,3,0,0,0,0
S02001577,S02001670,10,0,0,3,5,2,0,0,0
S02001577,S02001671,2,0,0,0,2,0,0,0,0
S02001577,S02001672,3,0,0,1,2,0,0,0,0
S02001577,S02001673,1,0,0,0,1,0,0,0,0
S02001577,S02001674,3,0,0,0,3,0,0,0,0
S02001577,S02001675,1,0,0,0,1,0,0,0,0
S02001577,S02001676,2,0,0,0,2,0,0,0,0
S02001577,S02001679,11,0,0,3,7,0,1,0,0
S02001577,S02001680,1,0,0,0,1,0,0,0,0
S02001577,S02001681,4,0,0,0,3,0,0,0,1
S02001577,S02001682,147,0,0,11,109,12,10,4,1
S02001577,S02001683,42,0,0,3,34,1,2,1,1
S02001577,S02001684,9,0,0,1,7,1,0,0,0
S02001577,S02001685,1,0,0,0,1,0,0,0,0
S02001578,S02001576,17,0,0,4,12,0,1,0,0
S02001578,S02001577,111,0,0,5,49,12,2,42,1
S02001578,S02001578,31,0,0,1,10,0,0,20,0
S02001578,S02001579,17,0,0,0,5,0,1,11,0
S02001578,S02001580,13,0,0,0,11,1,0,1,0
S02001578,S02001581,5,0,0,1,4,0,0,0,0
S02001578,S02001583,8,0,0,0,7,1,0,0,0
S02001578,S02001584,16,0,0,1,10,3,1,1,0
S02001578,S02001585,1,0,0,0,1,0,0,0,0
S02001578,S02001586,37,0,0,2,25,2,3,5,0
S02001578,S02001587,2,0,0,0,1,1,0,0,0
S02001578,S02001588,8,0,0,0,6,1,1,0,0
S02001578,S02001589,13,0,0,0,10,2,0,0,1
S02001578,S02001590,4,0,0,0,4,0,0,0,0
S02001578,S02001591,5,0,0,2,3,0,0,0,0
S02001578,S02001592,2,0,0,1,0,0,1,0,0
S02001578,S02001593,17,0,0,5,11,0,0,1,0
S02001578,S02001594,1,0,0,1,0,0,0,0,0
S02001578,S02001596,5,0,0,0,2,1,2,0,0
S02001578,S02001597,1,0,0,0,0,1,0,0,0
S02001578,S02001598,3,0,0,1,1,0,0,1,0
S02001578,S02001599,3,0,0,0,2,0,0,1,0
S02001578,S02001600,2,0,0,0,2,0,0,0,0
S02001578,S02001601,2,0,0,0,2,0,0,0,0
S02001578,S02001602,3,0,0,0,3,0,0,0,0
S02001578,S02001604,3,0,0,0,2,0,0,0,1
S02001578,S02001606,4,0,0,0,4,0,0,0,0
S02001578,S02001607,2,0,0,0,2,0,0,0,0
S02001578,S02001609,9,0,0,3,5,1,0,0,0
S02001578,S02001611,6,0,0,2,3,0,0,1,0
S02001578,S02001612,3,0,0,0,2,0,0,0,1
S02001578,S02001613,5,0,0,1,3,0,1,0,0
S02001578,S02001614,3,0,0,0,3,0,0,0,0
S02001578,S02001615,15,0,0,2,10,1,2,0,0
S02001578,S02001616,16,0,0,5,10,1,0,0,0
S02001578,S02001617,2,0,0,0,2,0,0,0,0
S02001578,S02001618,1,0,0,1,0,0,0,0,0
S02001578,S02001619,4,0,0,1,2,0,0,0,1
S02001578,S02001620,54,0,0,36,11,2,3,0,2
S02001578,S02001621,11,0,0,5,5,0,1,0,0
S02001578,S02001622,81,0,5,61,12,1,2,0,0
S02001578,S02001623,6,0,0,0,5,1,0,0,0
S02001578,S02001625,2,0,0,0,2,0,0,0,0
S02001578,S02001626,1,0,0,0,1,0,0,0,0
S02001578,S02001627,28,0,0,2,23,2,0,0,1
S02001578,S02001628,1,0,0,0,1,0,0,0,0
S02001578,S02001630,1,0,0,0,1,0,0,0,0
S02001578,S02001631,2,0,0,1,1,0,0,0,0
S02001578,S02001632,1,0,0,0,1,0,0,0,0
S02001578,S02001633,2,0,0,0,2,0,0,0,0
S02001578,S02001634,1,0,0,0,1,0,0,0,0
S02001578,S02001636,1,0,0,0,1,0,0,0,0
S02001578,S02001637,1,0,0,1,0,0,0,0,0
S02001578,S02001640,8,0,0,2,6,0,0,0,0
S02001578,S02001642,5,0,0,1,4,0,0,0,0
S02001578,S02001643,5,0,0,2,3,0,0,0,0
S02001578,S02001644,4,0,0,1,2,0,1,0,0
S02001578,S02001647,6,0,1,4,0,1,0,0,0
S02001578,S02001649,2,0,0,0,2,0,0,0,0
S02001578,S02001651,3,0,0,0,3,0,0,0,0
S02001578,S02001653,5,0,0,3,0,0,1,0,1
S02001578,S02001654,3,0,0,0,3,0,0,0,0
S02001578,S02001655,7,0,0,4,2,0,1,0,0
S02001578,S02001656,20,0,1,13,4,1,1,0,0
S02001578,S02001657,7,0,0,2,5,0,0,0,0
S02001578,S02001658,10,0,0,8,2,0,0,0,0
S02001578,S02001659,4,0,0,1,2,0,1,0,0
S02001578,S02001660,57,0,0,31,22,0,1,2,1
S02001578,S02001661,7,0,0,2,3,1,0,1,0
S02001578,S02001662,2,0,0,0,2,0,0,0,0
S02001578,S02001663,19,0,0,4,13,1,1,0,0
S02001578,S02001664,4,0,0,2,2,0,0,0,0
S02001578,S02001665,2,0,0,0,1,1,0,0,0
S02001578,S02001666,2,0,0,0,2,0,0,0,0
S02001578,S02001667,18,0,0,3,13,0,2,0,0
S02001578,S02001669,2,0,0,0,2,0,0,0,0
S02001578,S02001670,5,0,0,3,2,0,0,0,0
S02001578,S02001671,3,0,0,0,3,0,0,0,0
S02001578,S02001672,1,0,0,0,1,0,0,0,0
S02001578,S02001673,1,0,0,0,1,0,0,0,0
S02001578,S02001675,1,0,0,0,1,0,0,0,0
S02001578,S02001676,5,0,1,2,2,0,0,0,0
S02001578,S02001677,2,0,0,0,1,0,1,0,0
S02001578,S02001679,12,0,0,2,10,0,0,0,0
S02001578,S02001680,1,0,0,0,1,0,0,0,0
S02001578,S02001681,3,0,0,0,2,1,0,0,0
S02001578,S02001682,108,0,0,11,80,9,4,1,3
S02001578,S02001683,22,0,0,0,17,1,4,0,0
S02001578,S02001684,4,0,0,0,4,0,0,0,0
S02001578,S02001685,2,0,0,0,1,1,0,0,0
S02001579,S02001576,18,0,0,5,11,0,2,0,0
S02001579,S02001577,66,0,0,20,32,4,3,7,0
S02001579,S02001578,15,0,0,2,11,0,0,2,0
S02001579,S02001579,26,0,0,1,7,1,1,16,0
S02001579,S02001580,6,0,0,0,4,1,0,1,0
S02001579,S02001581,11,0,0,0,8,0,1,2,0
S02001579,S02001582,4,0,0,0,4,0,0,0,0
S02001579,S02001583,12,0,0,0,8,1,0,3,0
S02001579,S02001584,17,0,0,0,14,0,0,3,0
S02001579,S02001585,7,0,0,0,6,1,0,0,0
S02001579,S02001586,55,0,0,5,31,6,1,12,0
S02001579,S02001587,17,0,0,4,11,0,1,1,0
S02001579,S02001588,15,0,0,0,12,1,2,0,0
S02001579,S02001589,18,0,0,4,14,0,0,0,0
S02001579,S02001590,12,0,0,0,12,0,0,0,0
S02001579,S02001591,16,0,0,4,11,0,1,0,0
S02001579,S02001592,7,0,0,2,5,0,0,0,0
S02001579,S02001593,20,0,0,7,10,1,1,1,0
S02001579,S02001594,2,0,0,0,2,0,0,0,0
S02001579,S02001595,1,0,0,0,1,0,0,0,0
S02001579,S02001596,9,0,0,0,8,1,0,0,0
S02001579,S02001597,1,0,0,0,1,0,0,0,0
S02001579,S02001598,3,0,0,0,2,0,1,0,0
S02001579,S02001599,2,0,0,0,2,0,0,0,0
S02001579,S02001600,1,0,0,0,1,0,0,0,0
S02001579,S02001601,3,0,0,1,2,0,0,0,0
S02001579,S02001602,5,0,0,0,4,1,0,0,0
S02001579,S02001603,1,0,0,0,1,0,0,0,0
S02001579,S02001605,1,0,0,0,1,0,0,0,0
S02001579,S02001606,3,0,0,0,3,0,0,0,0
S02001579,S02001607,1,0,0,0,1,0,0,0,0
S02001579,S02001608,1,0,0,0,1,0,0,0,0
S02001579,S02001609,13,0,0,3,8,0,2,0,0
S02001579,S02001610,3,0,0,1,2,0,0,0,0
S02001579,S02001611,9,0,0,2,6,0,1,0,0
S02001579,S02001612,5,0,0,0,3,0,1,1,0
S02001579,S02001613,9,0,0,1,8,0,0,0,0
S02001579,S02001614,2,0,0,2,0,0,0,0,0
S02001579,S02001615,10,0,0,0,6,3,1,0,0
S02001579,S02001616,24,0,0,5,17,1,1,0,0
S02001579,S02001617,1,0,0,1,0,0,0,0,0
S02001579,S02001619,23,0,0,10,12,0,0,1,0
S02001579,S02001620,112,0,0,69,29,5,5,1,3
S02001579,S02001621,18,0,0,5,8,2,1,2,0
S02001579,S02001622,98,0,6,56,25,5,3,2,1
S02001579,S02001623,11,0,0,8,3,0,0,0,0
S02001579,S02001624,2,0,0,0,2,0,0,0,0
S02001579,S02001625,2,0,0,0,2,0,0,0,0
S02001579,S02001626,4,0,0,1,3,0,0,0,0
S02001579,S02001627,28,0,0,6,21,0,1,0,0
S02001579,S02001630,4,0,0,2,2,0,0,0,0
S02001579,S02001632,11,0,0,1,10,0,0,0,0
S02001579,S02001633,1,0,0,0,1,0,0,0,0
S02001579,S02001634,1,0,0,0,1,0,0,0,0
S02001579,S02001635,1,0,0,1,0,0,0,0,0
S02001579,S02001637,1,0,0,0,1,0,0,0,0
S02001579,S02001638,1,0,0,1,0,0,0,0,0
S02001579,S02001640,7,0,0,4,3,0,0,0,0
S02001579,S02001641,1,0,0,0,1,0,0,0,0
S02001579,S02001642,6,0,0,2,3,0,0,0,1
S02001579,S02001643,7,0,0,5,2,0,0,0,0
S02001579,S02001644,1,0,0,0,1,0,0,0,0
S02001579,S02001645,4,0,0,0,2,0,0,2,0
S02001579,S02001647,5,0,0,2,3,0,0,0,0
S02001579,S02001648,1,0,0,0,1,0,0,0,0
S02001579,S02001649,6,0,0,0,5,1,0,0,0
S02001579,S02001651,2,0,0,0,1,1,0,0,0
S02001579,S02001652,2,0,0,1,1,0,0,0,0
S02001579,S02001653,5,0,0,2,3,0,0,0,0
S02001579,S02001654,4,0,0,2,2,0,0,0,0
S02001579,S02001655,21,0,0,11,10,0,0,0,0
S02001579,S02001656,25,0,0,17,7,0,1,0,0
S02001579,S02001657,9,0,0,5,4,0,0,0,0
S02001579,S02001658,22,0,0,12,8,2,0,0,0
S02001579,S02001659,6,0,0,1,4,0,1,0,0
S02001579,S02001660,81,0,4,44,23,4,5,0,1
S02001579,S02001661,2,0,0,0,2,0,0,0,0
S02001579,S02001662,7,0,0,0,6,1,0,0,0
S02001579,S02001663,29,0,0,6,21,0,1,0,1
S02001579,S02001664,3,0,0,0,3,0,0,0,0
S02001579,S02001665,2,0,0,0,2,0,0,0,0
S02001579,S02001666,2,0,0,2,0,0,0,0,0
S02001579,S02001667,19,0,0,2,13,0,3,1,0
S02001579,S02001668,2,0,0,1,1,0,0,0,0
S02001579,S02001669,3,0,0,0,3,0,0,0,0
S02001579,S02001670,17,0,0,7,9,1,0,0,0
S02001579,S02001671,4,0,0,0,4,0,0,0,0
S02001579,S02001672,1,0,0,0,1,0,0,0,0
S02001579,S02001675,6,0,0,4,2,0,0,0,0
S02001579,S02001677,5,0,0,0,4,0,1,0,0
S02001579,S02001678,2,0,0,1,1,0,0,0,0
S02001579,S02001679,16,0,0,2,12,1,1,0,0
S02001579,S02001681,2,0,0,0,1,0,0,1,0
S02001579,S02001682,189,0,0,16,146,14,6,5,2
S02001579,S02001683,30,0,0,3,20,3,1,0,3
S02001579,S02001684,17,0,0,0,16,1,0,0,0
S02001579,S02001685,5,0,0,0,4,1,0,0,0
S02001580,S02001576,9,0,0,1,7,0,1,0,0
S02001580,S02001577,36,0,0,5,28,2,1,0,0
S02001580,S02001578,5,0,0,0,4,0,0,1,0
S02001580,S02001579,10,0,0,1,4,2,1,2,0
S02001580,S02001580,34,0,0,0,12,0,0,22,0
S02001580,S02001581,30,0,0,0,20,0,2,8,0
S02001580,S02001582,1,0,0,0,1,0,0,0,0
S02001580,S02001583,5,0,0,0,5,0,0,0,0
S02001580,S02001584,6,0,0,0,6,0,0,0,0
S02001580,S02001585,2,0,0,0,2,0,0,0,0
S02001580,S02001586,42,0,0,8,29,1,4,0,0
S02001580,S02001587,9,0,0,0,9,0,0,0,0
S02001580,S02001588,8,0,0,0,7,0,1,0,0
S02001580,S02001589,19,0,0,2,12,0,3,2,0
S02001580,S02001590,7,0,0,1,3,0,1,0,2
S02001580,S02001591,11,0,0,1,10,0,0,0,0
S02001580,S02001592,5,0,0,0,5,0,0,0,0
S02001580,S02001593,17,0,0,4,10,0,0,3,0
S02001580,S02001594,5,0,0,2,3,0,0,0,0
S02001580,S02001595,7,0,0,3,3,0,0,1,0
S02001580,S02001596,23,0,0,9,10,1,1,2,0
S02001580,S02001598,6,0,0,1,3,0,1,1,0
S02001580,S02001599,4,0,0,0,4,0,0,0,0
S02001580,S02001600,3,0,0,0,2,0,0,1,0
S02001580,S02001602,3,0,0,0,3,0,0,0,0
S02001580,S02001604,3,0,0,0,3,0,0,0,0
S02001580,S02001606,4,0,0,0,4,0,0,0,0
S02001580,S02001607,1,0,0,0,1,0,0,0,0
S02001580,S02001609,17,0,0,1,10,0,4,2,0
S02001580,S02001610,2,0,0,0,2,0,0,0,0
S02001580,S02001611,4,0,0,1,2,1,0,0,0
S02001580,S02001612,11,0,0,2,8,0,1,0,0
S02001580,S02001613,14,0,0,2,11,0,1,0,0
S02001580,S02001614,1,0,0,0,1,0,0,0,0
S02001580,S02001615,24,0,0,3,19,1,1,0,0
S02001580,S02001616,55,0,0,7,41,4,2,1,0
S02001580,S02001617,3,0,0,3,0,0,0,0,0
S02001580,S02001618,4,0,0,1,2,0,0,1,0
S02001580,S02001619,11,0,0,7,2,1,0,0,1
S02001580,S02001620,141,0,0,63,53,8,11,5,1
S02001580,S02001621,34,0,0,15,12,2,3,2,0
S02001580,S02001622,106,0,2,60,30,3,7,3,1
S02001580,S02001623,21,0,0,7,12,1,1,0,0
S02001580,S02001624,1,0,0,0,1,0,0,0,0
S02001580,S02001625,1,0,0,0,1,0,0,0,0
S02001580,S02001626,5,0,0,1,4,0,0,0,0
S02001580,S02001627,34,0,0,1,30,1,1,0,1
S02001580,S02001628,1,0,0,0,1,0,0,0,0
S02001580,S02001629,1,0,0,0,0,0,0,1,0
S02001580,S02001630,3,0,0,0,3,0,0,0,0
S02001580,S02001631,3,0,0,0,3,0,0,0,0
S02001580,S02001632,4,0,0,0,4,0,0,0,0
S02001580,S02001633,2,0,0,1,1,0,0,0,0
S02001580,S02001634,2,0,0,0,2,0,0,0,0
S02001580,S02001640,17,0,0,0,15,0,2,0,0
S02001580,S02001641,4,0,0,0,3,0,1,0,0
S02001580,S02001642,6,0,0,2,4,0,0,0,0
S02001580,S02001643,5,0,0,1,4,0,0,0,0
S02001580,S02001644,2,0,0,1,1,0,0,0,0
S02001580,S02001645,2,0,0,0,1,0,1,0,0
S02001580,S02001647,20,0,0,8,10,1,0,1,0
S02001580,S02001648,2,0,0,0,1,0,1,0,0
S02001580,S02001649,1,0,0,0,1,0,0,0,0
S02001580,S02001650,4,0,0,1,2,0,1,0,0
S02001580,S02001651,5,0,0,0,4,0,0,1,0
S02001580,S02001652,6,0,0,0,6,0,0,0,0
S02001580,S02001653,9,0,0,3,4,0,1,0,1
S02001580,S02001654,6,0,0,1,4,1,0,0,0
S02001580,S02001655,20,0,0,10,8,1,1,0,0
S02001580,S02001656,42,0,0,20,15,1,2,0,4
S02001580,S02001657,15,0,0,10,5,0,0,0,0
S02001580,S02001658,11,0,0,7,3,0,1,0,0
S02001580,S02001659,7,0,0,1,6,0,0,0,0
S02001580,S02001660,107,0,0,42,53,4,5,0,3
S02001580,S02001661,11,0,0,0,10,0,0,1,0
S02001580,S02001662,7,0,0,0,6,1,0,0,0
S02001580,S02001663,29,0,0,5,24,0,0,0,0
S02001580,S02001664,6,0,0,2,3,1,0,0,0
S02001580,S02001665,1,0,0,1,0,0,0,0,0
S02001580,S02001666,2,0,0,0,2,0,0,0,0
S02001580,S02001667,11,0,0,0,10,0,1,0,0
S02001580,S02001669,1,0,0,0,1,0,0,0,0
S02001580,S02001670,6,0,0,2,3,1,0,0,0
S02001580,S02001671,2,0,0,0,1,1,0,0,0
S02001580,S02001672,4,0,0,1,3,0,0,0,0
S02001580,S02001673,5,0,0,0,5,0,0,0,0
S02001580,S02001675,1,0,0,0,1,0,0,0,0
S02001580,S02001676,2,0,0,0,1,0,1,0,0
S02001580,S02001677,1,0,0,0,1,0,0,0,0
S02001580,S02001678,3,0,0,0,3,0,0,0,0
S02001580,S02001679,20,0,0,2,15,0,1,2,0
S02001580,S02001680,1,0,0,0,1,0,0,0,0
S02001580,S02001681,3,0,0,0,3,0,0,0,0
S02001580,S02001682,84,0,0,12,56,2,10,2,2
S02001580,S02001683,44,0,0,6,35,1,2,0,0
S02001580,S02001684,10,0,0,0,8,1,1,0,0
S02001580,S02001685,5,0,0,0,2,1,0,2,0
S02001580,S02001686,1,0,0,0,0,0,0,0,1
S02001581,S02001576,9,0,0,0,7,1,1,0,0
S02001581,S02001577,37,0,0,13,15,2,5,2,0
S02001581,S02001578,9,0,0,0,8,0,0,1,0
S02001581,S02001579,7,0,0,0,4,0,0,3,0
S02001581,S02001580,21,0,0,0,10,2,0,9,0
S02001581,S02001581,122,0,0,2,29,2,16,73,0
S02001581,S02001583,6,0,0,1,4,0,1,0,0
S02001581,S02001584,10,0,0,1,7,1,0,1,0
S02001581,S02001585,1,0,0,0,0,0,0,1,0
S02001581,S02001586,27,0,0,3,20,1,2,1,0
S02001581,S02001587,8,0,0,1,6,0,0,1,0
S02001581,S02001588,15,0,0,2,8,0,0,5,0
S02001581,S02001589,15,0,0,1,13,0,0,1,0
S02001581,S02001590,9,0,0,4,3,2,0,0,0
S02001581,S02001591,10,0,0,1,5,0,4,0,0
S02001581,S02001592,9,0,0,2,7,0,0,0,0
S02001581,S02001593,7,0,0,1,3,0,0,3,0
S02001581,S02001594,11,0,0,2,6,3,0,0,0
S02001581,S02001595,4,0,0,0,2,1,0,0,1
S02001581,S02001596,27,0,0,0,9,2,2,14,0
S02001581,S02001597,5,0,0,0,4,0,0,1,0
