geo_code1,geo_code2,all,from_home,train,bus,car_driver,car_passenger,bicycle,foot,other
S02001576,S02001576,151,0,0,6,61,7,5,70,2
S02001576,S02001577,132,0,0,11,84,10,11,15,1
S02001576,S02001578,40,0,0,5,32,2,0,1,0
S02001576,S02001579,17,0,0,4,13,0,0,0,0
S02001576,S02001580,2,0,0,0,2,0,0,0,0
S02001576,S02001581,11,0,1,2,8,0,0,0,0
S02001576,S02001582,4,0,0,1,1,0,2,0,0
S02001576,S02001583,9,0,0,0,7,2,0,0,0
S02001576,S02001584,24,0,0,1,21,1,0,0,1
S02001576,S02001585,4,0,0,1,3,0,0,0,0
S02001576,S02001586,58,0,0,10,39,2,6,0,1
S02001576,S02001587,7,0,0,0,6,0,1,0,0
S02001576,S02001588,10,0,0,1,9,0,0,0,0
S02001576,S02001589,24,0,0,5,16,0,2,0,1
S02001576,S02001590,9,0,0,0,7,0,2,0,0
S02001576,S02001591,10,0,0,1,7,2,0,0,0
S02001576,S02001592,2,0,0,2,0,0,0,0,0
S02001576,S02001593,21,0,0,5,14,1,1,0,0
S02001576,S02001594,5,0,0,2,3,0,0,0,0
S02001576,S02001595,1,0,0,0,1,0,0,0,0
S02001576,S02001596,4,0,0,0,4,0,0,0,0
S02001576,S02001597,2,0,0,0,2,0,0,0,0
S02001576,S02001598,4,0,0,1,3,0,0,0,0
S02001576,S02001599,2,0,0,0,2,0,0,0,0
S02001576,S02001602,4,0,0,0,3,0,0,1,0
S02001576,S02001604,9,0,0,3,6,0,0,0,0
S02001576,S02001605,1,0,0,0,1,0,0,0,0
S02001576,S02001606,5,0,0,0,5,0,0,0,0
S02001576,S02001607,7,0,0,0,7,0,0,0,0
S02001576,S02001608,2,0,0,1,1,0,0,0,0
S02001576,S02001609,14,0,0,2,8,0,3,1,0
S02001576,S02001611,11,0,0,3,5,1,1,0,1
S02001576,S02001612,10,0,0,3,6,1,0,0,0
S02001576,S02001613,18,0,0,5,11,1,1,0,0
